observationId,observationStartMJD_TAI,visitTime,visitExposureTime,filter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg
0,60218.001805555556,34.0,30.0,y,0.6673703914220546,0.7486257803188012,22.370556803880852,310.02448010095446,-60.81292801655155,62.75077469249649
84,60218.04102483214,34.0,30.0,y,1.172316844626727,1.3629158693755803,21.68371576638282,321.2719271452396,-59.809500600350795,57.31193891329498
168,60218.08029597352,34.0,30.0,y,1.5663743894182312,1.8423046099978482,21.33344272531732,315.2615145515285,-59.08643027237226,22.05444012210192
252,60218.120258192735,34.0,30.0,y,1.9459300038818388,2.3040510996129426,20.990126966718357,304.3148471805068,-64.96575313316377,351.4609951202081
336,60218.15840638486,34.0,30.0,y,1.4017179414305958,1.6419926294776106,21.44322103794473,324.11956604407646,-28.47300426399481,302.3236983251683
420,60218.19610750043,34.0,30.0,y,1.8074199755260516,2.1355474154818146,21.148290994450356,340.46377836389087,-28.912947701613604,303.5959929305079
504,60218.23399130675,34.0,30.0,y,1.1178427254152505,1.2966456513567526,21.69270199133067,4.380451697856905,-58.06807312971962,10.790209840672379
588,60218.27317022792,34.0,30.0,y,1.587540029319575,1.868053563649118,21.158040100107666,344.2948469401453,-39.222538085838224,308.73135891600435
672,60218.31073482621,34.0,30.0,y,1.3896739910903215,1.6273406217643815,21.327078910094652,0.6139652822360526,-43.779327056023334,315.42317703784795
756,60218.34885681439,34.0,30.0,y,1.1130227544047429,1.2907819396651372,21.427445587664774,359.07906257834594,-76.60614221529197,330.21215604145476
848,60218.98462644687,34.0,30.0,i,1.1027086372149535,1.2782343518430093,22.951091131134614,307.3355402760053,-23.54289743479277,112.25651472435484
934,60219.02518547363,34.0,30.0,r,1.1140265614307225,1.2920031160957695,23.783934911547988,315.77501709690404,-16.16421797718878,146.9533993361905
1020,60219.0661378798,34.0,30.0,i,0.890955409591332,1.0206270189675573,23.314039303275745,326.2976890812677,-7.439172876086323,164.1525009231438
1106,60219.10687401821,34.0,30.0,z,1.10948229618198,1.2864748128734549,22.318801828243426,310.4125577298669,15.098193207532905,200.7230790521828
1192,60219.146818685746,34.0,30.0,y,0.9830339622796714,1.1326447229679701,21.824420501949216,320.7427025897269,-7.537495744006567,218.8077511802683
1278,60219.18539135996,34.0,30.0,y,1.0668816041831732,1.23464915350751,21.687970108043196,342.14163339935084,0.6859112855852335,205.1157016484119
1364,60219.223992838495,34.0,30.0,y,0.8994049958910737,1.0309063210353695,21.803992507596448,332.56688956088294,-12.494240199837542,230.48117128971685
1450,60219.26586073949,34.0,30.0,z,1.6029238998661064,1.8867687346303,21.748294618985028,305.0316628364218,-67.30367823908416,246.99215644570148
1536,60219.30884621028,34.0,30.0,i,1.5016238210266104,1.7635326289861442,22.24284241988586,331.2621665962138,-80.10998832520323,264.4285446786961
1622,60219.35108203755,34.0,30.0,y,1.4565477083358263,1.708695508924363,21.089385347894385,346.88075761715567,-62.0336288369855,253.65716286979622
1716,60219.98597052322,34.0,30.0,r,0.830237385758928,0.9467608099257032,23.826346140202283,307.4002634176082,-40.91778035899756,104.59385652230426
1740,60219.99849089562,34.0,30.0,i,0.7209730140872552,0.8138357835611377,23.833363326572027,315.39172320257876,-39.735881118357746,114.79270778746053
